Time,Refuel_time,EDC,Cycle,value
85.85,50min,50mM,01,0.05639999999999999
86.01666666666667,50min,50mM,01,0.0561
86.18333333333334,50min,50mM,01,0.05639999999999999
86.35,50min,50mM,01,0.0563
86.51666666666667,50min,50mM,01,0.056199999999999986
86.68333333333334,50min,50mM,01,0.05639999999999999
86.85,50min,50mM,01,0.05639999999999999
87.01666666666667,50min,50mM,01,0.05650000000000001
87.18333333333334,50min,50mM,01,0.0561
87.35,50min,50mM,01,0.0563
87.55,50min,50mM,01,0.056199999999999986
87.7,50min,50mM,01,0.05639999999999999
87.86666666666667,50min,50mM,01,0.05639999999999999
88.03333333333333,50min,50mM,01,0.0563
88.16666666666666,50min,50mM,01,0.05650000000000001
88.33333333333334,50min,50mM,01,0.05650000000000001
88.5,50min,50mM,01,0.0563
88.66666666666666,50min,50mM,01,0.05639999999999999
88.86666666666667,50min,50mM,01,0.0563
89.0,50min,50mM,01,0.05639999999999999
89.16666666666666,50min,50mM,01,0.05639999999999999
89.33333333333334,50min,50mM,01,0.0563
89.5,50min,50mM,01,0.0563
89.65,50min,50mM,01,0.05600000000000001
89.81666666666666,50min,50mM,01,0.0563
89.98333333333333,50min,50mM,01,0.056199999999999986
90.15,50min,50mM,01,0.055699999999999986
90.31666666666666,50min,50mM,01,0.0563
90.48333333333333,50min,50mM,01,0.0566
90.65,50min,50mM,01,0.0566
90.85,50min,50mM,01,0.05639999999999999
91.01666666666667,50min,50mM,01,0.0563
91.18333333333334,50min,50mM,01,0.05639999999999999
91.31666666666666,50min,50mM,01,0.0563
91.48333333333333,50min,50mM,01,0.05639999999999999
91.65,50min,50mM,01,0.05650000000000001
91.8,50min,50mM,01,0.05650000000000001
91.96666666666667,50min,50mM,01,0.0566
92.13333333333333,50min,50mM,01,0.05639999999999999
92.3,50min,50mM,01,0.0563
92.46666666666667,50min,50mM,01,0.0566
92.63333333333333,50min,50mM,01,0.0566
92.8,50min,50mM,01,0.05639999999999999
92.96666666666667,50min,50mM,01,0.05650000000000001
93.13333333333333,50min,50mM,01,0.05639999999999999
93.3,50min,50mM,01,0.0563
93.5,50min,50mM,01,0.0563
93.66666666666666,50min,50mM,01,0.0566
93.81666666666666,50min,50mM,01,0.0563
93.98333333333333,50min,50mM,01,0.05639999999999999
94.15,50min,50mM,01,0.05650000000000001
94.31666666666666,50min,50mM,01,0.05650000000000001
94.48333333333333,50min,50mM,01,0.05639999999999999
94.65,50min,50mM,01,0.05650000000000001
94.81666666666666,50min,50mM,01,0.05600000000000001
94.98333333333333,50min,50mM,01,0.0561
95.15,50min,50mM,01,0.0566
95.31666666666666,50min,50mM,01,0.05639999999999999
